index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
424,-0.08212518679574209,0.20507162758667963,1.5635936365751493,-0.13400829116594246,0.9467751448663662,0.19159200594296527,-0.2212489688581759,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5635936365751493,,,0.7794046198804294
432,-0.02625927579068587,0.21149626375551325,1.5251163605067262,-0.14350070040266252,0.9532585988590423,0.19108864624476687,-0.18490733344457486,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5251163605067262,,,0.8269333173121798
440,0.03947064873726272,0.21282972630195227,1.5039058175361681,-0.15194834501720592,0.9585284267166921,0.18881116684490928,-0.14995098831691278,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5039058175361681,,,0.8499530046755406
448,0.11193370066691938,0.21006201859733747,1.4964739857611091,-0.15893090201262175,0.9625764946373359,0.1847098593979233,-0.11861588510124955,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4964739857611091,,,0.8507133781748148
456,0.18579615644577233,0.20701737139753693,1.4879146183891714,-0.16621747183251775,0.9655957132112998,0.1791939267475748,-0.08880432029103262,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4879146183891714,,,0.8471806858558275
464,0.26101971119432504,0.20353147708939995,1.478559121379069,-0.1738412709174417,0.9676477310379563,0.172340478461062,-0.06112152343255009,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.478559121379069,,,0.8862992844602082
472,0.3375026606173084,0.1996603767616487,1.4679477208838216,-0.18180880591431978,0.968851871092146,0.16422578974198118,-0.036076307417466924,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4679477208838216,,,0.8759439472859087
480,0.41507406686817155,0.19558788991039733,1.4550467358591972,-0.19007787305296958,0.9693568922769439,0.15499265563521802,-0.013960453788729048,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4550467358591972,,,0.8934351820553548
488,0.4938552583468211,0.19149886694687193,1.440400836727994,-0.19853075951387228,0.9693527697101513,0.1446377597826751,0.004545748250036082,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.440400836727994,,,0.9013293952758223
496,0.5734306389510464,0.18761133302396626,1.421398141350419,-0.2071379200840143,0.968974275793334,0.13334430198684327,0.020050736687067534,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.421398141350419,,,0.9068123574839799
504,0.6511246863824492,0.18144785413445558,1.402973813693076,-0.21431017960431709,0.9684773950333352,0.12203719417279878,0.03506573064747302,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.402973813693076,,,inf
512,0.7101936709506396,0.1638159223236892,1.4087349367578454,-0.21302273245285797,0.9682078735504022,0.11330349217076775,0.06600869423973893,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4087349367578454,,,0.9210842079209556
520,0.768804654319589,0.149064346138479,1.4225730175604727,-0.2105386401070665,0.9681293080361573,0.1013162997849512,0.09018941923077438,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4225730175604727,,,0.9186747675587636
